id,origin,obs_date,sps_comm,sps,reg_id,taxon,author,lon,lat,region_long,region,status (native/alien/IAS),comments
242405106,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,229,Plantae,,2.573052406,51.09164047,Belgium,Belgium,IAS,
242375181,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,231,Plantae,,2.572314262,51.09041977,Belgium,Belgium,IAS,
242375149,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,232,Plantae,,2.573895,51.08876,Belgium,Belgium,IAS,
242351628,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,233,Plantae,,2.5732301,51.0900302,Belgium,Belgium,IAS,
242351747,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,234,Plantae,,2.5731927,51.0899544,Belgium,Belgium,IAS,
242351845,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,235,Plantae,,2.5732691,51.0899384,Belgium,Belgium,IAS,
242351879,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,236,Plantae,,2.5732411,51.0898853,Belgium,Belgium,IAS,
242351980,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,237,Plantae,,2.57338833,51.09025833,Belgium,Belgium,IAS,
242352071,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,238,Plantae,,2.573506,51.0901423,Belgium,Belgium,IAS,
242353441,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,239,Plantae,,2.572377682,51.09062958,Belgium,Belgium,IAS,
242353446,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,241,Plantae,,2.572898388,51.09131241,Belgium,Belgium,IAS,
242353461,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,243,Plantae,,2.572531223,51.09167862,Belgium,Belgium,IAS,
242353462,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,244,Plantae,,2.572504044,51.09168625,Belgium,Belgium,IAS,
242353465,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,245,Plantae,,2.572380543,51.09187317,Belgium,Belgium,IAS,
242324972,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,246,Plantae,,2.570124149,51.07995987,Belgium,Belgium,IAS,
242355304,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,247,Plantae,,2.5737133,51.0896031,Belgium,Belgium,IAS,
242357635,ObsIdentify,2022-05-21,Amerikaanse vogelkers,Prunus serotina,248,Plantae,,2.5738565,51.0887668,Belgium,Belgium,IAS,
242365022,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,249,Plantae,,2.573226929,51.08970642,Belgium,Belgium,IAS,
242365027,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,250,Plantae,,2.57328248,51.08972549,Belgium,Belgium,IAS,
242365038,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,251,Plantae,,2.572257996,51.09040833,Belgium,Belgium,IAS,
242365039,ObsMapp,2022-05-21,Amerikaanse vogelkers,Prunus serotina,252,Plantae,,2.572259426,51.09041214,Belgium,Belgium,IAS,
